N	A	dA	(E1-E0)	d(E1-E0)	chi
400	0.5024074936939951	0.00282125248281922	0.972018589298729	0.006244591860827688	1.1349244048335807
286	0.49599533072012725	0.001939914151543729	0.998885935402608	0.0044232763366069084	1.062869131676829
222	0.4914205931715323	0.0021661557334804083	0.9792180181348769	0.004926079947671145	1.2674150453716677
182	0.4971725510048116	0.0008856633760624805	0.9917392705671919	0.0019860205748364708	0.3151474675491379
154	0.4976924508125093	0.0011910066640465785	1.0041920341916544	0.002705423448992492	0.6051648465108176
133	0.4972917234206054	0.0011836655080438927	0.9972340957276776	0.0023899972498210753	0.5179404551206442
118	0.4937978501727529	0.0010133707245505758	0.9982054972192828	0.0020146088907770907	0.3731444600528485
105	0.4920973109316948	0.0010631111926905708	0.995807643553857	0.002265834672223672	0.5641592207699748
95	0.49226622646961116	0.0010596327767343088	0.993133272581703	0.0022907334291797365	0.4866187447388334
87	0.4890221916710443	0.0016022703156351322	0.9995147997587743	0.0031874659171937094	0.7869694245807674
80	0.4850315876846011	0.0010738430678559462	0.9898170361804796	0.002155554120045526	0.482326783720358
74	0.48281587207640314	0.0015325226296229778	0.9879190068892869	0.0030448423088839734	0.9954345672631503
69	0.48071149534277674	0.0011160757085951806	0.9895702665577919	0.0021537559941994253	0.48811998217669467
65	0.4787718592760959	0.0011837915696136488	0.9861370878877632	0.0023165388863752045	0.6737813323594002
61	0.4785523732396392	0.001769139740573176	0.9934220193889085	0.0033751911914418386	1.0628887792789978
57	0.46999499258876526	0.0014509950505928698	0.9775030184497507	0.0027347017465017415	0.6193929976097711
